FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeFormPoints,AwayFormPoints,HTWStreak3,HTWStreak5,HTLStreak3,HTLStreak5,ATWStreak3,ATWStreak5,ATLStreak3,ATLStreak5,HTGD,ATGD,PointsDiff,FormPointsDiff,HomeH2HStadiumPts,HomeH2HPts
H,1.9230769230769231,1.1538461538461537,D,D,W,W,L,L,1.8,1.4,0,0,0,0,0,0,0,0,1.0,-0.15384615384615385,0.7692307692307693,0.4,0,0
NH,1.4615384615384615,0.8461538461538461,D,W,D,L,D,L,1.2,1.4,0,0,0,0,0,0,0,0,0.23076923076923078,-0.7692307692307693,0.6153846153846154,-0.2,0,0
H,1.0769230769230769,1.4615384615384615,D,L,L,D,L,W,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.15384615384615385,-0.38461538461538464,0.0,0,0
NH,1.3846153846153846,1.0,W,L,W,L,D,W,2.0,2.0,0,0,0,0,0,0,0,0,-0.23076923076923078,-0.46153846153846156,0.38461538461538464,0.0,0,0
H,0.7857142857142857,1.2142857142857142,L,L,L,W,D,L,0.0,1.0,0,0,1,1,0,0,0,0,-0.35714285714285715,0.07142857142857142,-0.42857142857142855,-1.0,0,0
NH,2.142857142857143,2.2142857142857144,W,W,D,W,W,W,2.2,3.0,0,0,0,0,1,1,0,0,1.2142857142857142,1.3571428571428572,-0.07142857142857142,-0.8,0,0
H,1.1428571428571428,1.0,W,L,D,L,L,W,2.0,1.4,0,0,0,0,0,0,0,0,-0.35714285714285715,-0.6428571428571429,0.14285714285714285,0.6,0,0
H,0.5714285714285714,0.9285714285714286,L,W,W,D,L,L,1.2,1.0,0,0,0,0,0,0,0,0,-0.7857142857142857,-0.42857142857142855,-0.35714285714285715,0.2,0,0
H,1.7142857142857142,0.6428571428571429,L,W,D,W,D,L,1.2,1.0,0,0,0,0,0,0,0,0,0.6428571428571429,-0.7142857142857143,1.0714285714285714,0.2,0,0
H,1.2142857142857142,1.2857142857142858,D,W,W,L,W,L,1.4,1.4,0,0,0,0,0,0,0,0,0.07142857142857142,-0.2857142857142857,-0.07142857142857142,0.0,0,0
